省份,指标,2017C,2017D,2018A,2018B,2018C,2018D,2019A,2019B,2019C,2019D,2020A
四川省,居民人均消费支出_累计值,3738.69412,5144.5753,4290,3700,4072,5601.55206,4657.23627,4085.668215,4522.910295,6072.48823,4486.65212
四川省,城镇居民人均消费支出_累计值,5208.16746,6248.57679,6058.365691,5286.634309,5546,6592.94085,6455.767279,5735.835031,6074.82181,7100.98867,5951.764324
四川省,农村居民人均消费支出_累计值,2556.157679,4149.016008,2822,2384,2848,4669.19381,3116.441202,2671.976408,3193.49427,5073.65462,3212.422722
贵州省,居民人均可支配收入_累计值,4044.96291,4755.0272,4651,4096,4472,5211,5144.484534,4539.440736,4972.6985,5740.73769,5301.245749
贵州省,城镇居民人均可支配收入_累计值,7063.59204,7425.99743,8374,7502,7689,8027,9130.877119,8167.769221,8415.5014,8690.01773,9280.838314
贵州省,农村居民人均可支配收入_累计值,2182.991804,2906.966848,2259,1888,2396,3173,2480.714354,2093.70422,2662.827897,3519.048769,2600.226418
贵州省,居民人均消费支出_累计值,2883.213454,3948.500196,3424,2883,3254,4237.06413,3764.896011,3106.873476,3513.805953,4394.38118,3652.961545
贵州省,城镇居民人均消费支出_累计值,4877.66962,5281.07786,5144.039928,4726.960072,5277,5639.93268,5525.506122,4893.680178,5339.67918,5643.51631,5127.514225
贵州省,农村居民人均消费支出_累计值,1652.97879,3006.981532,2319,1689,1948,3214.239745,2588.428664,1903.010698,2288.765986,3441.449492,2652.156756
云南省,居民人均可支配收入_累计值,4323.497586,5421.34084,5159,4291,4737,5897,5650.568204,4729.736936,5226.92329,6475.20036,5561.004834
云南省,城镇居民人均可支配收入_累计值,7496.65034,8155.58831,8898,7736,8108,8746,9609.625515,8390.660455,8796.30578,9441.08917,9280.65766
云南省,农村居民人均可支配收入_累计值,2251.256223,3408.852996,2641,1949,2456,3722,2889.966663,2155.033115,2727.881598,4129.491074,2937.191033
云南省,居民人均消费支出_累计值,2919.603221,3886.381495,3562,3045,3374,4268.92923,3865.041598,3488.139629,3682.035353,4744.60153,3667.161621
云南省,城镇居民人均消费支出_累计值,4906.411266,5385.42496,5455.994828,4907.005172,5383,5880.41509,5788.619406,5415.786044,5920.15417,6330.29115,5277.661006
云南省,农村居民人均消费支出_累计值,1622.118079,2783.621558,2286,1781,2013,3042.901005,2523.754658,2132.903086,2115.043084,3488.451222,2531.128042
西藏自治区,居民人均可支配收入_累计值,4404.202252,4883.75506,3136,3780,4916,5454,3510.019569,4281.859021,5551.86508,6157.55824,3818.267172
西藏自治区,城镇居民人均可支配收入_累计值,8054.76311,7323.98187,8010,8751,8852,8184,8797.868607,9722.149593,9809.20746,9080.74822,9517.350379
西藏自治区,农村居民人均可支配收入_累计值,3219.858038,3900.791609,1484,2079,3575,4312,1654.948887,2353.699162,4050.648622,4891.693129,1812.425055
西藏自治区,居民人均消费支出_累计值,2389.419519,3650.973396,2662,2137,2849,3872.22683,3061.013656,2708.681734,3093.550284,4165.963916,3021.610504
西藏自治区,城镇居民人均消费支出_累计值,5121.04324,5621.64281,6150.910218,5034.089782,5611,6233.43696,6915.360901,6111.766469,6158.92551,6450.63339,6343.903642
西藏自治区,农村居民人均消费支出_累计值,1503.203878,2876.252875,1479,1145,1908,2920.073656,1708.840679,1501.553722,2012.639531,3194.839473,1852.300414
陕西省,居民人均可支配收入_累计值,5335.99378,5043.85077,5975,5226,5805,5522,6534.745694,5737.567956,6358.22073,6035.72897,6565.917406
陕西省,城镇居民人均可支配收入_累计值,8066.55292,7451.29439,8595,7957,8683,8084,9317.132606,8643.215674,9399.69997,8738.16036,9376.520931
